#OTU ID	226bbv	35bcont	261bbv	21bcont	138bvvc	180bvvc	53bcont	94bvvc	298bbv	19bcont	188bvvc	284bbv	246bbv	92bvvc	76bvvc	305bbv	165bvvc	311bbv	319bbv	178bvvc	66bvvc	31bcont	173bvvc	219bbv	172bvvc	233bbv	132bvvc	67bvvc	198bvvc	228bbv	251bbv	133bvvc	36bcont	93bvvc	177bvvc	73bvvc	205bbv	202bbv	276bbv	95bvvc	107bvvc	50bcont	273bbv	23bcont	239bbv	28bcont	274bbv	24bcont	150bvvc	26bcont	79bvvc	212bbv	42bcont	253bbv	63bcont	199bvvc	280bbv	160bvvc	51bcont	250bbv	323bbv	120bvvc	148bvvc	314bbv	110bvvc	235bbv	39bcont	209bbv	269bbv	27bcont	136bvvc	109bvvc	142bvvc	229bbv	200bvvc	56bcont	171bvvc	146bvvc	186bvvc	83bvvc	85bvvc	268bbv	96bvvc	324bbv	55bcont	78bvvc	87bvvc	7bcont	70bvvc	65bvvc	255bbv	12bcont	245bbv	302bbv	317bbv	176bvvc	265bbv	320bbv	5bcont	121bvvc	191bvvc	68bvvc	168bvvc	170bvvc	206bbv	101bvvc	318bbv	82bvvc	48bcont	225bbv	135bvvc	166bvvc	71bvvc	105bvvc	33bcont	260bbv	37bcont	60bcont	123bvvc	309bbv	306bbv	299bbv	29bcont	98bvvc	17bcont	43bcont	222bbv	195bvvc	190bvvc	16bcont	102bvvc	179bvvc	315bbv	128bvvc	147bvvc	18bcont	157bvvc	287bbv	272bbv	145bvvc	221bbv	241bbv	112bvvc	41bcont	30bcont	249bbv	328bbv	296bbv	119bvvc	288bbv	20bcont	325bbv	293bbv	13bcont	46bcont	116bvvc	141bvvc	15bcont	283bbv	3bcont	204bbv	153bvvc	97bvvc	52bcont	62bcont	257bbv	326bbv	104bvvc	25bcont	126bvvc	156bvvc	162bvvc	266bbv	58bcont	327bbv	175bvvc	44bcont	310bbv	227bbv	184bvvc	14bcont	4bcont	254bbv	2bcont	64bcont	275bbv	292bbv	203bbv	106bvvc	74bvvc	139bvvc	291bbv	301bbv	127bvvc	321bbv	308bbv	6bcont	54bcont	264bbv	201bbv	224bbv	187bvvc	84bvvc	234bbv	277bbv	40bcont	100bvvc	89bvvc	300bbv	223bbv	159bvvc	8bcont	137bvvc	111bvvc	244bbv	99bvvc	270bbv	114bvvc	278bbv	211bbv	164bvvc	125bvvc	240bbv	294bbv	207bbv	161bvvc	108bvvc	316bbv	237bbv	118bvvc	75bvvc	80bvvc	313bbv	140bvvc	196bvvc	248bbv	124bvvc	197bvvc	115bvvc	289bbv	72bvvc	304bbv	45bcont	238bbv	163bvvc	122bvvc	77bvvc	189bvvc	192bvvc	144bvvc	143bvvc	11bcont	242bbv	286bbv	81bvvc	307bbv	117bvvc	271bbv	282bbv	256bbv	281bbv	230bbv	279bbv	130bvvc	208bbv	59bcont	9bcont	210bbv	232bbv	86bvvc	267bbv	10bcont	103bvvc	297bbv	49bcont	129bvvc	155bvvc	182bvvc	169bvvc	214bbv	131bvvc	34bcont	154bvvc	57bcont	174bvvc	90bvvc	149bvvc	181bvvc	259bbv	290bbv	158bvvc	231bbv	213bbv	152bvvc	243bbv	91bvvc	312bbv	taxonomy
0	2003	1814	654	19424	4419	16789	8617	32673	1605	5833	62893	21914	8515	7239	44804	1826	3380	1374	992	39283	78271	2509	3887	942	29947	1517	12654	3810	11731	1390	697	2655	34585	3681	33826	6701	1791	3982	16883	5547	9108	9474	2159	4051	9564	22248	6058	5714	3924	4216	22866	4525	5051	473	17558	9296	2763	30569	6047	2108	1531	27997	4309	11271	57249	658	2973	14860	1693	2531	39180	5490	18434	3233	12751	83208	23087	19382	27486	5767	25654	4510	72762	14936	6038	4360	54633	17079	18760	62885	920	5419	1165	4218	13044	7305	3207	1496	2520	33604	29835	45695	52476	10557	3171	5283	11491	8125	32878	5236	18682	3390	26528	57630	6572	10553	3611	8950	4248	818	1238	826	2132	60050	40649	1722	6518	29197	4582	4851	6903	4188	1069	20060	4207	11620	12140	2189	15026	22884	1149	1244	62343	17198	2496	9774	3482	12441	30232	29436	12129	627	1227	2066	2060	65122	11279	6352	1182	8292	22869	4635	50254	6406	7279	1141	11645	9954	45291	35857	19399	16127	18663	62811	7021	4933	41394	890	752	24200	4928	3617	836	52375	14150	2675	1250	22828	28775	7103	2732	1148	2475	40444	2051	1851	10822	55173	2297	8622	11220	14957	26775	1596	1084	4865	7665	7094	1778	933	26412	29053	6544	42794	2099	7297	2692	7729	23702	1822	43882	39884	1836	17662	3448	51527	63698	2804	726	7694	37864	22473	5330	7304	33521	1022	4750	15323	36600	1682	9848	25884	7949	700	34504	59178	3565	10241	32262	7602	5080	14186	13079	3772	12412	1069	72793	4172	1840	1323	2882	1067	2281	31244	20263	9230	34806	2999	12380	21978	3567	21480	7088	1267	48001	15070	3035	5495	13665	2318	11757	9084	6958	7452	4685	4697	3543	3088	479	1780	29276	1157	2343	7692	877	2921	1897	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners
1	4392	1081	269	2428	31495	4093	5742	3046	265	1591	9757	219	318	26522	3646	371	36756	460	443	2223	5151	2045	4082	333	4369	442	3247	2389	14427	484	260	960	7007	14450	1377	36779	416	873	472	3056	2508	5582	133	23906	3556	1945	189	51364	28555	28214	3214	853	2074	96	2232	22948	195	1758	3472	224	278	57331	34394	456	1881	218	815	1319	443	1191	1215	1160	3013	196	11901	188268	2673	21906	3915	2145	1280	480	4551	464	29900	25467	1448	21574	33167	4873	149	25503	351	186	458	34746	210	710	3592	7559	3782	3433	6335	30198	664	60235	378	1909	2745	200	1365	41171	37055	1506	614	191	2269	57576	9909	395	432	278	23277	4488	3079	4409	604	7794	39087	1417	3653	2449	278	4994	25105	12465	1371	451	814	4413	579	233	1823	28283	18263	134	9408	992	3798	681	2106	118	490	15668	10263	2750	2317	19011	201	31336	1508	11208	2928	15799	2477	330	198	6664	1381	11425	15568	35106	396	3004	7848	28288	1126	473	308	12393	1609	6500	123	3438	5658	238	467	866	2493	35200	17367	280	109	3134	154	240	3149	4707	524	480	729	1735	3460	593	107	743	4494	3060	576	567	2007	5438	30411	1892	8261	2755	370	57469	143	696	2850	6938	15249	404	631	9796	4241	530	423	3970	2045	5127	280	23522	1576	526	44040	14616	2873	306	14413	173	1355	457	1923	4868	39514	2943	5618	4475	24109	26510	336	398	1129	215	3166	447	447	106	337	218	141	1758	647	3317	1233	1319	196	12825	240	1958	4316	144	3824	1073	18400	33050	35879	1271	1965	1244	24822	1881	3357	3300	28153	19267	160	7587	2045	196	1153	6888	208	21811	692	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus
2	886	6379	5286	1926	1840	19684	6447	2135	1611	2407	783	922	814	949	1233	9216	409	1931	7646	1488	7600	5673	16098	6921	1005	5726	4100	15119	1011	4871	6340	5013	759	913	979	2486	11065	24850	5027	47377	52422	46954	7367	1510	949	423	6520	1198	483	704	2382	6898	803	964	1344	2541	2369	24766	38684	1402	1997	3609	539	8471	3841	913	444	9563	11842	13735	1168	31945	6602	925	1825	2177	1911	1028	1721	7122	1518	5010	4986	734	16676	1049	1231	1734	2387	2532	2373	5207	8062	2875	718	4799	5729	3095	25842	28564	1770	2414	734	1614	19814	4309	432	8446	473	4419	12692	977	2304	2570	382	682	398	1931	30182	4526	12921	8400	603	4772	2768	359	3640	2737	1915	20501	22858	21607	7231	1832	1220	4741	4435	10613	2047	4250	6556	6053	3216	852	365	939	531	5195	37322	1613	644	1040	6371	777	782	2323	1200	1367	7194	1647	1682	492	27743	1382	7114	12382	766	53744	977	1004	758	962	1971	1903	487	17744	746	9178	2738	1075	10355	813	1196	1732	1292	10207	1078	2494	8536	2064	922	4010	1557	2328	975	15194	6811	1201	7612	10737	931	875	1898	4845	1889	2848	2985	29773	4216	3194	4050	2223	2127	5025	844	5386	11983	4991	1708	10600	421	1534	859	1011	2804	4627	11839	1621	398	60127	2266	3673	13322	798	1103	7724	1102	1858	2441	19384	1483	1167	376	6280	1760	12220	5379	9387	1252	1194	1977	1658	1358	14192	6304	7449	2238	9947	13918	4061	23713	729	6353	7959	1290	10949	698	2033	659	1566	6608	1567	56934	920	3345	2983	1063	1299	2184	2205	5899	2238	777	4806	12796	36362	783	1053	668	10444	660	3721	1907	8711	6289	918	1362	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis;409-05
3	41	48	54	402	266	426	1193	261	45	228	7704	56	22	499	539	14	147	100	9482	4163	533	226	704	137	16620	10	524	7648	220	27	39	129	193	10529	3864	416	39	106	46	3672	232	1062	31	577	233	109	33	788	61	107	5595	142	40	14	11021	229	21	62	68582	28	49	14399	225	129	206	20	76	55	151	313	313	108	2623	10	100	880	7345	150	270	528	1801	86	6947	107	1021	561	3545	1161	581	757	36	5471	89	22	197	521	26	79	14836	384	632	7586	210	1163	69	640	52	408	2969	20	370	90	1046	235	52	37	228	936	7701	54	15	37	153	495	369	48	33	751	787	330	2420	313	237	1532	572	337	28	100	54	76	155	26	208	41	40	18	63	50	5751	72	401	33	100	131	44	372	1346	387	36	1072	1018	937	348	1327	543	14	59	311	50	1415	118	48	98	697	68	593	151	21	15	617	347	642	20	22777	1156	35	105	3297	261	547	203	291	9	1580	62	65	279	858	139	86	41	236	1170	10	9	238	694	367	46	67	94	5809	336	302	83	1022	18	177	22	89	2178	28770	67	17	133	70	350	111	45	186	1140	5909	71	472	208	42	1204	511	192	26	1132	26	88	20	486	649	669	469	672	819	4452	289	66	29	303	42	322	119	15	13	9	14	43	363	72	587	1257	40	19	6486	301	426	493	27	659	299	88	473	2641	64	294	80	82	568	271	275	265	202	20	66	78	27	139	130	140	239	77	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii
4	193	130	109	83	312	10805	3415	170	549	107	149	228	172	260	341	3300	60	365	146	341	405	79	235	1797	234	4351	9431	215	86	635	1700	127	156	195	189	349	154	152	636	225	425	116	1944	146	116	62	513	186	96	39	371	48	96	115	223	172	489	48	263	2479	2495	120	124	85	202	1707	60	2571	7266	57	108	5533	130	95	145	361	179	62	335	663	175	416	434	246	284	273	282	219	103	549	780	365	1056	2653	102	371	4418	646	159	265	195	155	66	155	380	168	97	11527	85	133	197	50	193	127	44	117	34	523	212	232	3340	7244	59	114	404	40	111	113	107	59	138	11206	936	324	127	271	72	5291	596	159	142	1003	50	195	60	158	54	623	184	457	86	205	2238	97	19	111	140	151	3579	176	264	103	189	270	1015	483	136	280	81	182	240	219	268	318	96	274	36	560	430	98	5309	190	259	177	96	3163	5724	309	712	311	146	1434	1344	330	1481	1271	8707	182	202	111	251	230	626	6666	1152	30	173	22739	7102	676	97	282	534	155	199	173	3014	276	436	76	48	242	125	354	262	309	357	3036	78	78	382	440	154	160	157	4320	212	147	124	4304	196	194	33	87	73	168	279	145	149	193	263	323	133	202	255	1899	85	1777	586	243	884	508	2654	305	30	9678	147	187	45	393	333	227	278	333	335	187	239	292	301	93	4672	78	141	6496	182	7554	123	122	139	365	143	205	153	11648	826	180	467	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;genomosp.type_1str.28L
5	179	338	3093	221	264	304	1149	572	543	48	131	79	192	275	441	361	42	463	85	371	1614	917	183	493	228	151	298	162	57	1855	544	282	129	580	155	312	133	1026	262	1037	19421	35	172	258	184	102	353	320	37	41	8112	2285	128	4727	76	187	845	942	97	439	87	701	59	35	460	39	73	134	146	82	90	264	309	394	57	135	230	38	329	5906	243	11897	783	57	658	282	319	222	189	134	247	226	800	261	36	150	160	22	151	1617	6336	25	87	972	603	300	23	12812	114	70	1973	66	201	274	72	145	242	119	9473	5219	1035	3922	57	291	217	40	66	106	353	87	8128	454	60	95	55	7559	85	1253	135	83	1639	3419	217	124	59	177	19	126	7098	359	181	24	2478	72	103	246	221	120	55	140	126	25	787	106	83	477	83	265	75	121	56	73	101	160	38	340	183	4998	226	628	295	186	7026	102	57	1057	261	174	549	258	48	243	160	371	362	100	428	80	535	348	65	75	5769	976	137	1210	415	12207	4167	144	224	453	276	2759	312	421	143	531	243	485	20	156	205	158	230	63	481	675	577	2253	398	225	550	89	106	2259	190	95	253	229	153	136	79	238	15	149	537	6057	11988	319	4847	347	184	336	4531	86	474	301	641	135	334	138	3108	309	52	225	108	122	66	433	598	5242	603	996	296	399	83	265	197	155	428	135	65	113	155	6946	32	122	126	133	55	199	133	23	492	160	407	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia
6	35	379	6	131	110	606	302	53	11760	182	292	105	19	58	564	360	12	7237	327	406	309	145	17837	68	953	19	194	9914	54	49	5	17	269	32	341	50	6	105	249	143	398	293	143	312	19	386	158	330	75	186	97	17	128	1	652	27	108	78	5916	18	2	905	436	25	420	13	125	69	135	15092	67	248	59	4	40	247	787	100	404	50	16	596	152	65	193	106	133	252	123	331	21	24979	23	212	21	422	78	15	284	29	562	1596	92	434	13	705	15	147	183	24	195	13	363	669	166	5	46	570	328	215	324	229	157	861	278	90	14	215	255	8186	616	217	90	43	402	293	327	156	151	23	32	3	560	193	142	43	25	397	4237	159	227	1	341	89	97	508	45	266	89	583	112	134	498	887	107	14	5	884	109	91	201	108	176	407	28	333	124	219	7	338	139	707	7	286	244	84	598	19	694	157	80	463	108	45	50	336	198	226	30	109	6	247	225	39	37	146	55842	2977	490	15	108	345	57	576	152	26630	104	801	81	53	211	113	16	289	64	68	1626	106	2	582	388	947	8	22	316	8	447	95	455	283	347	254	115	2	83	98	168	226	586	96	127	172	32	90	265	199	470	108	11278	25	2529	2	124	97	33	178	308	73	19	33	328	296	602	14202	157	136	23	194	285	16	12	167	119	332	13326	155	122	117	11	429	12	20	13	55	86	87	5844	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri(johnsonii)
7	158	681	167	247	426	1243	1873	188	310	174	277	347	148	238	119	945	104	311	132	257	623	1825	227	2473	168	1248	2080	1100	154	381	469	319	112	202	155	213	423	1283	434	207	494	125	886	204	146	48	4904	429	99	54	1006	1573	90	81	293	275	339	155	374	224	559	598	46	83	514	693	84	350	3130	91	229	1542	438	104	305	209	291	38	271	782	108	582	266	171	279	158	276	242	218	175	533	307	589	1701	108	251	1281	442	7865	360	810	287	117	126	961	520	88	2475	98	141	4737	113	207	257	46	216	42	269	7183	255	1839	1371	72	398	221	36	137	278	227	123	13462	4164	1498	395	172	803	78	1321	351	90	686	2052	180	74	68	124	42	575	461	434	247	113	610	107	75	541	388	256	779	239	321	42	527	156	1124	1809	138	4513	61	358	138	132	228	232	164	272	89	1251	436	147	1587	201	204	166	86	1156	247	311	476	128	187	704	804	418	425	890	1407	163	256	487	175	121	280	2220	246	98	407	191	1238	364	149	257	358	690	113	495	1637	556	376	435	95	344	233	222	1941	76	699	875	167	3254	221	207	1665	512	134	657	273	254	215	1265	299	149	73	259	39	337	179	1905	3537	453	4244	230	144	1379	955	830	441	2131	409	180	309	492	534	412	114	3372	136	282	92	241	414	1608	511	187	241	334	94	267	221	225	1272	74	88	714	208	4153	116	109	92	526	107	845	731	2213	491	98	401	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium;vaginae
8	221	144	211	120	357	236	383	219	369	90	64	265	127	188	474	6309	26	352	400	98	1897	505	86	2720	190	4922	7546	123	41	2875	2869	104	137	287	88	319	35	89	747	223	1385	155	1261	121	200	99	491	93	14	38	505	327	161	123	163	181	785	354	301	1408	3055	61	230	187	155	141	84	272	339	119	97	249	124	136	57	99	175	16	258	497	107	6259	145	445	383	141	295	211	104	408	2129	272	256	1229	181	50	4480	1482	341	229	105	123	13	80	102	119	122	1349	34	146	175	40	149	76	47	141	37	368	242	370	3707	3824	71	70	294	48	95	152	59	72	347	2343	1679	873	120	571	22	7800	265	72	174	901	102	203	32	142	161	265	777	276	98	542	4181	54	34	92	174	156	283	192	214	20	210	233	2913	504	300	66	93	80	77	102	224	176	287	227	91	417	1265	64	5705	175	251	92	82	828	4158	189	123	196	132	3241	547	4714	1769	3074	791	153	188	977	127	67	525	3955	2697	62	202	16743	8246	4866	60	88	422	518	297	239	1056	291	570	143	21	135	149	219	538	116	286	3882	341	71	432	139	752	107	136	166	228	63	102	2101	91	252	77	2162	21	117	222	4661	51	99	179	246	144	306	187	338	147	11136	896	2506	1285	482	1854	182	69	6013	84	157	139	367	4466	1592	281	291	221	167	71	141	165	200	3837	69	23	172	55	13684	37	42	151	284	55	1358	801	59	3183	130	338	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;timonensis
9	109	191	66	13	443	29	71	10	432	7	4	19	42	4	76	224	27	202	264	142	84	183	11	12	94	17	2870	70	48	27	221	12649	121	17	49	125	161	308	55	10	661	75	1130	16	15	101	937	16	14	122	23	39	104	108	161	104	22	15	99	3518	8047	295	58	593	579	6	132	96	44	127	299	380	428	66	129	119	21	30	16	115	95	109	13	226	126	11	90	18	96	110	1536	29	55	8956	153	43	1853	256	14	631	21	53	17	12	286	225	139	166	108	46	7950	34	84	298	102	66	123	117	506	115	191	362	75	256	22	47	10	97	12	13	145	122	230	537	43	21	60	47	97	97	21	188	165	148	62	81	116	240	280	45	2	202	153	78	130	198	253	68	20	23	111	40	549	121	320	91	326	369	204	263	41	34	43	288	217	30	92	199	105	6	128	75	215	13	53	198	213	271	21972	16	259	1131	3304	635	3491	123	365	45	78	111	34	2	25	13	126	66	359	10	234	381	80	47	491	405	108	342	44	270	226	35	12	378	18	109	162	30	278	8037	18	315	24	49	2418	273	152	87	382	77	156	360	83	111	1997	20	14	467	13	19	14	381	494	105	59	42	48	81	224	61	42	49	58	110	140	708	57	5179	44	72	13	201	46	126	425	173	233	295	93	167	129	78	5250	189	150	1783	7	13	24	88	50	170	116	595	41	2681	80	3	207	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis;WGS101
